"text","sentiment","priority","category"
"Mi pedido no ha llegado y ya pasaron 10 días","negativo","alta","queja"
"El producto vino defectuoso y nadie responde","negativo","alta","queja"
"Me cobraron dos veces el mismo pedido","negativo","alta","queja"
"No recibí lo que pedí, quiero una solución ya","negativo","alta","queja"
"El servicio técnico me ha ignorado por días","negativo","alta","queja"
"El embalaje estaba abierto cuando llegó","negativo","media","queja"
"Me llegó el paquete pero con un accesorio menos","negativo","media","queja"
"El repartidor fue descortés","negativo","media","queja"
"No se respetó el horario de entrega","negativo","media","queja"
"La web se cae al intentar pagar","negativo","media","queja"
"Quiero cambiar la dirección de entrega","neutro","media","solicitud"
"¿Pueden confirmar que el producto está en stock?","neutro","media","solicitud"
"Solicito información sobre el proceso de devolución","neutro","media","solicitud"
"¿Tienen envío exprés a Canarias?","neutro","media","solicitud"
"Necesito la factura del pedido 10432","neutro","media","solicitud"
"Estoy interesado en sus soluciones para empresas","neutro","baja","comercial"
"Me gustaría conocer sus tarifas para distribuidores","neutro","baja","comercial"
"¿Ofrecen descuentos por volumen?","neutro","baja","comercial"
"Estoy evaluando opciones para nuestra tienda online","neutro","baja","comercial"
"¿Pueden hacer una demo del producto?","neutro","baja","comercial"
"Gracias por la rapidez en el envío","positivo","baja","otro"
"Muy satisfecho con el servicio recibido","positivo","baja","otro"
"Excelente atención, todo llegó perfecto","positivo","baja","otro"
"Funcionó todo tal como esperaba, felicitaciones","positivo","baja","otro"
"Solo quería decir que estoy muy contento con su empresa","positivo","baja","otro"
"El producto es bueno pero llegó tarde","neutro","media","queja"
"Quisiera una copia de la garantía","neutro","media","solicitud"
"No encuentro el manual en español","negativo","media","solicitud"
"¿Hay alguna oferta activa para este mes?","neutro","baja","comercial"
"Estoy considerando su servicio para mi negocio","neutro","baja","comercial"
"Muy buena atención en el chat","positivo","baja","otro"
"Gracias por resolver mi problema tan rápido","positivo","baja","otro"
"No recibí el correo de confirmación","negativo","media","queja"
"¿Me pueden ayudar con la instalación?","neutro","media","solicitud"
"Todo perfecto. Repetiré sin duda","positivo","baja","otro"
"El producto nunca llegó y necesito una solución inmediata","negativo","alta","queja"
"Me entregaron un artículo equivocado y no contestan el correo","negativo","alta","queja"
"Han pasado más de 7 días y no tengo noticias del envío","negativo","alta","queja"
"La atención al cliente no me resuelve nada desde hace días","negativo","media","queja"
"Recibí un producto usado en vez de nuevo","negativo","alta","queja"
"Pedí cancelación y aún así me cobraron el importe completo","negativo","alta","queja"
"El número de seguimiento no funciona y nadie responde","negativo","media","queja"
"No consigo contactar con ningún agente, es frustrante","negativo","media","queja"
"Su app da error al intentar pagar con tarjeta","negativo","media","queja"
"Recibí una caja vacía sin el producto dentro","negativo","alta","queja"
"¿Me pueden reenviar el comprobante de compra?","neutro","media","solicitud"
"Necesito saber si puedo cancelar el pedido antes del envío","neutro","media","solicitud"
